topic_id,top_words,label
0,"sentiment, page, emotion, copy, polarity, pubmed, lingual, print, cross lingual, pdf","sentiment, page, emotion"
1,"image, images, segmentation, method, motion, detection, recognition, shape, color, object","image, images, segmentation"
2,"fingerprint, abc, deontic, symmetries, facet, job shop, hellman, review, diffie hellman, diffie","fingerprint, abc, deontic"
3,"speech, la, des, recognition, les, speaker, speech recognition, et, une, le","speech, la, des"
4,"security, attacks, attack, secure, scheme, key, privacy, authentication, encryption, protocol","security, attacks, attack"
5,"translation, word, language, words, english, chinese, corpus, lexical, machine translation, corpora","translation, word, language"
6,"network, algorithm, performance, time, networks, based, problem, data, parallel, paper","network, algorithm, performance"
7,"xml, seminar, conference, dagstuhl, abstracts, international, dagstuhl seminar, international conference, th, xml data","xml, seminar, conference"
8,"logic, der, die, und, semantics, reasoning, programs, von, logics, proof","logic, der, die"
9,"software, service, systems, services, management, web, process, business, information, model","software, service, systems"
10,"learning, research, user, design, study, information, human, students, paper, interaction","learning, research, user"
11,"fuzzy, neural, method, equations, linear, matrix, numerical, function, neural network, nonlinear","fuzzy, neural, method"
12,"data, based, learning, model, approach, method, using, information, classification, algorithm","data, based, learning"
13,"social, web, user, users, search, recommendation, twitter, pages, social media, content","social, web, user"
14,"problem, graph, graphs, algorithm, complexity, automata, number, set, problems, time","problem, graph, graphs"
